region_id,state,district,latitude,longitude,date,rainfall_mm,temperature_c,source_mode
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260321,0.22,13.56,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260322,0.0,14.9,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260323,0.36,15.53,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260324,0.0,15.55,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260325,0.0,16.69,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260326,0.01,19.05,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260327,0.64,18.31,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260328,0.01,17.79,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260329,0.22,18.4,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260330,1.1,18.89,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260331,0.24,19.88,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260401,0.08,18.34,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260402,0.03,20.14,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260403,1.64,20.16,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260404,1.74,17.01,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260405,1.32,16.69,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260406,0.86,16.83,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260407,2.36,16.24,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260408,-999.0,-999.0,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260409,-999.0,-999.0,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260410,-999.0,-999.0,downloaded
IN-ERN-ERNAKULAM,Kerala,Ernakulam,9.9816,76.2999,20260301,2.28,27.82,downloaded
IN-ERN-ERNAKULAM,Kerala,Ernakulam,9.9816,76.2999,20260302,0.63,27.72,downloaded
